Sr. no.,Tweets,Scores,Category
792,yep winners have been emailed,0.33,Positive
793,nope only for first time recharges,0.25,Positive
794,nope hus like heaven doesnt it,0.4,Positive
795,thats going to be the hardest pa,0,Neutral
796,winners have been informed over email,0.33,Positive
797,dont panic just take an ola,0,Neutral
798,winners have been emailed deepak,0.33,Positive
799,sadly there wont be any such magic,0,Neutral
800,perhaps you need a hymn for the weekend,0,Neutral
801,hey thats not us our official suppo account is,-0.2,Negative
802,god that put a smile on our face,0.25,Positive
803,got your tickets toget a free olalux ride to the venuetap on the gci icon tomo from 11amp3pm,0.091,Positive
804,bangalore only limited seats available apply now atstauptour2,0,Neutral
805,heading toarrive in style with your complimentary olalux ride open the ola app amp click the gci icon,0.15,Positive
806,running out of cash isnt a reason to stop riding get cashback of 100 on your first 2 cashless rides code cashless cashlesschalegaindia,0.14,Positive
807,thanks for the shoutout vishalwish you a wonderful sunday,0.4,Positive
808,hey folks heres your chance to win some olamoney cashlesschalegaindia,0.14,Positive
809,hellowe agree sayhello sayola,0,Neutral
810,three is a crowd four is a pay,-0.25,Negative
811,launchingolaplay the worlds first connected car platform for ridesharing key panerships including,0,Neutral
812,relentless focus on innovating to win and changing the mobility game for indian consumers,0.11,Positive
813,"the most advanced incab enteainment platform is here
introducing olaplayredefining your ride experience",0.12,Positive
814,"play prebuffered hd content amp get personalized updates 
create an ambience that’s perfect for you olaplay
",0.27,Positive
815,"fill your ride with your favorite music amp tv shows select from our wide range of enteainment paners olaplay
",0.17,Positive
816,weve heard youolaplay,0,Neutral
817,delhi heres your chance to win olamoney withcashlesschalegaindia oladelhi,0.14,Positive
818,theres always olaselect nopeakpricing,0,Neutral
819,thanks for the shout out prathibha glad we could help,0.6,Positive
820,weve panered with pnb to conve our cabs into mobile atms wee already staed this in kolkata,0,Neutral
821,you can use your card in the swiping machine to withdraw the desired amount of cash,0.11,Positive
822,apparently pnb has tied up withto dispense cash demonetisation presents marketing and branding oppounity for the enterprising,0,Neutral
823,"ties up with punjab national bank to bring mobileatm 
fantastic initiative indeed seen outside emall chandi chowk metro",0,Neutral
824,yes we will bring this to bangalore soon,0.2,Positive
825,its only available outside e mall near chandni chowk metro station at the moment,0.11,Positive
826,"bengaluru heres your chance to win a free entry into the bmm2016
watch this space for more details 
runningislife runningcrew runner",0.15,Positive
827,then were surewould be interested in whats coming,0.5,Positive
828,thenwould love whats coming up,0.5,Positive
829,then youre in for a treat watch this space for more details olabmm,0,Neutral
830,somethings on the way just for you,0.33,Positive
831,or she could develop a serious case of turophobia,-0.25,Negative
832,why not always connected always on the gois the mantra of digital india,0,Neutral
833,congratulationsampfor the incredible panership ola play will be a hit,0.43,Positive
834,ola mobile atms will be available various locations in hyderabad today in association with sbi amp andhra bank will update soon with details,0.17,Positive
835,meanwhile tell us where youd like the mobile atm to go and well make arrangements,0.22,Positive
836,hyderabad ola mobile atms are now available near military hospital amp military canteen secunderabad and around jubilee hills,0.12,Positive
837,you could write to us at mediaatolacabsdotcomand well put you in touch with the right people,0.29,Positive
838,more locations coming soon stay connected on twitter for more details,0.14,Positive
839,were associated with pnb in kolkata the mobile atms at hyderabad are brought to you in association with sbi amp andhrabank,0,Neutral
840,not at the moment shashank will let you know as soon as we have an update,0.29,Positive
841,kolkata mobile atms in an association with punjab national bank are now live in esplanade and barabazaar please spread the word,0.14,Positive
842,we note your suggestion and have informed the teamsthanks,0,Neutral
843,our driverpaners are known to have some seriously good taste in music especially the retro kind,0.11,Positive
844,we are currently live at kbr park hyderabad with our mobile atms,0.14,Positive
845,sure shoot us your questions on dm,-0.33,Negative
846,hyderabad were here kbr park road number 2 till 245 you can come withdraw cash for your needs from our mobile atm couesy sbi,0.067,Positive
847,due to the fire and the resultant impact on traffic peak pricing has been withdrawn from rides originating from oshiwara,0.091,Positive
848,mail us at alliancesatolacabsdotcom and well take it from there,0.25,Positive
849,well be setting up at jntu in the next hour this one will be suppoed by andhra bank,0.2,Positive
850,mumbai please note peak pricing has been removed from all ola cab rides originating from oshiwara,0.18,Positive
851,hyderabad our mobile atm is now available at ascendas tech park couesyspread the word,0.1,Positive
852,hyderabad if youre around ascendas tech park and want to withdraw some cash please head over to our mobile atm couesy,0.071,Positive
853,hyderabad our next mobile atm is at casa rouge lane hitech city near google office amp hea cup cafe share the news,0,Neutral
854,this weekend pay with olamoney onamp get 100 cashback cashlesschalegaindia details,0.12,Positive
855,"mobile atms in action 
helping people in a very innovative way you guys rockhyderabad demonetisation cashcrunch",0.18,Positive
856,"join us on the journey to bring smiles watch this space for more details
ola ezeehugs",0.11,Positive
857,thanks toin helping us making atms accessible to more people kolkata stay tuned for more updates,0.27,Positive
858,bengaluru share a pic of your running gear or running stats from your fitness app amp win registration to bengaluru midnight marathon olabmm,0.062,Positive
859,"sta sharing pics of your activity statsrunning gear amp win 
for more details visitolabmm
bengaluru",0.091,Positive
860,thank youfor teams up with sbi pnb for setting up mobile atms alone we are strong together we are stronger,0.33,Positive
861,today is the last day to share pics of your running gearactivity stats share and winolabmm,0,Neutral
862,sure manjunathan dont forget to use the ht olabmm while posting your pic,0,Neutral
863,hope you have submitted a photo of your activity running gear olabmm,0.14,Positive
864,hey pradeep dont forget to post the pics of your runnings statsgear and win olabmm,0,Neutral
865,hey chirag dont forget to post the pics of your running stats gear and win olabmm,0,Neutral
866,heres your chance to win free registration to bengaluru midnight marathon olabmm mondaymotivation,0.2,Positive
867,ummm could you share the crn of this ride,0,Neutral
868,the contest closes today send in your entries soon olabmm,0,Neutral
869,ah shaik nadeem just had a fanboy moment in olalux,0.33,Positive
870,thanks salina youve made our day,0.2,Positive
871,the ratan tata i know inspiring a generationwritesofabout his interactions w,0.17,Positive
872,thanks for pointing it out this has been soed,0.5,Positive
873,hes a fan olalux,0.33,Positive
874,congrats to all the winners of olabmm please dm us your full name phone number amp email id,0.2,Positive
875,thanks for your suppothis friday well be bringing this to many more cities we will update with details soon,0.27,Positive
876,your tweet repo was actually an inspiration we would love your help in identifying the areas for this initiative,0.33,Positive
877,great to know trishik wed also love to hear what the impoant lesson is about talesfromacab,0.2,Positive
878,enjoy your olalux ride,0.33,Positive
879,welcome to olaauto rajee and we agree cashless is carefree,0.33,Positive
880,"we are proud to join hands withon the ezeehugs initiative
you can the suppo the cause too details",0.1,Positive
881,"know of an offbeat location in india tweet with olaoutstationwithfab amp you could win a 3d2n stay 

",0.11,Positive
882,contest ale paicipate in olaoutstationwithfab and win a 3d2n stay at,0.17,Positive
883,olaplay is the world’s first connected car platform that will offer onthego access totv shows amp movies — all in one place,0.12,Positive
884,saw this at fo kochities up with pnb to bring mobileatms to kochi roads great initiative,0.11,Positive
885,"mobileatm now located at simpark mall outside new market
shakespeare sarani amp ajc bose road crossing cashlesschalegaindia",-0.062,Negative
886,"from your food orders to booking movie tickets we have you covered now pay using olamoney cashlesschalegaindia 
",0.18,Positive
887,spreading warmth just got easier we are proud to announce thatjoins the ezeehugs initiative it’s your turn to suppo the cause,0.31,Positive
888,"great suggestions for offbeat destinations 
",0.25,Positive
889,know someone who is celebrating their wedding anniversary this week tag them in the reply a surprise coming your way luxanniversary,0.17,Positive
890,"celebrating your wedding anniversary this week share a photo of your wedding invite amp win a luxanniversary ride
",0.17,Positive
891,thrilled to hear which is your favourite track olaplay applemusic,0.17,Positive
892,anniversary should be between 1st and 8th december,0,Neutral
893,thats awesomeshare a photo of your wedding invite,0,Neutral
894,awesomeplease share a photo of your wedding invite for a luxanniversary,0,Neutral
895,do your bit take an olashare pollutioncontrolday,0,Neutral
896,lets play olaplay,0.33,Positive
897,hey you have won a olalux ride for your sisters wedding dm us your phone number amp address luxanniversary,0.091,Positive
898,mou exchange between govt of odisha and ola cabs to train 3500 drivers and provide gainful employmentmakeinodisha skillindia,0.17,Positive
899,followand mobileatms on twitter for live updates on the location of the atm in chennai,0.12,Positive
900,we will have it tomorrow stay tunes for more mobileatms,0.2,Positive
901,"mobileatms from ola powered by indian overseas bank and radio city in chennai today
follow us on twitter for live location updates",0.13,Positive
902,"this day 6 years ago we staed our trip from a small house but with big dreams
thanks to everyone of you whose joined us in the journey",0.071,Positive
903,"the mobileatm is now available at express avenue mall couesy indian overseas bank chennai 
stay tuned for more updates",0.071,Positive
904,"the mobileatm is now available at mylapore couesy indian overseas bank chennai 
stay tuned for more updates",0.083,Positive
905,"here is the updated list of locations for mobileatms in chennai
details",0,Neutral
906,"mobileatm is now available at saidapet near karneeshwarar temple couesy indian overseas bank chennai 
stay tuned for more updates",0.067,Positive
907,mobileatm from ola powered by indian overseas bank and radio city now stationed at mylapore luz church road chennai,0.067,Positive
908,mobileatm from ola powered by indian overseas bank and radio city now stationed at west mambalam thambiah road chennai,0.067,Positive
909,now you can pay for your fuel through olamoneycashlesschalegaindia,0,Neutral
910,sure help us build one olaplay,0.2,Positive
911,"go after the things you want dont wait for them to come to you
unless its an atm mobileatm coming near you couesy",0.18,Positive
912,heres the list of current locations of the mobileatm couesyat your citystay tuned,0,Neutral
913,mobileatm from ola powered bynow stationed at santacruz west mumbai stay tuned for more updates,0.091,Positive
914,hey mumbai if you near prabhadevi there is a mobileatm from us powered bynow stationed closeby stay tuned for more updates,0.083,Positive
915,"the mobileatm couesyis now available at andheri west new link road mumbai
stay tuned for more updates",0.077,Positive
916,"the mobileatm is now available at hitech city couesyhyderabad
stay tuned for more updates",0.11,Positive
917,hey hyderabad if you near begumpet there is a mobileatm from us powered bynow stationed closeby stay tuned for more updates,0.083,Positive
918,the mobileatm couesyis now available at ola office udyog vihar stay tuned for more updates delhi,0.083,Positive
919,hey delhiites the mobileatm powered byis now available at aiims and tilak nagar stay tuned for more updates delhi,0.14,Positive
920,hey chennai we have an active mobileatm powered bynear starcity service apament t nagar watch this space for more updates,0.077,Positive
921,mobile atmthank you so very much guys its very helpful cheers fr u guys hyderabad,0.25,Positive
922,hey delhiites the mobileatm powered byis now available at laxmi nagar mayur vihar phase 2 and yamuna vihar delhi,0.13,Positive
923,the mobileatm couesyis now available at nand nagri and fountain chowk gurgaon stay tuned for more updates delhi,0.077,Positive
924,thanks vicky,0.5,Positive
925,mobileatm updates we now have an active mobileatm powered byat madhapur hyderabad head there if youre in the neighbourhood,0.083,Positive
926,the mobileatms are available till 4 pm,0.33,Positive
927,traveling staying at a hotel this weekend dont visit atms shoot a video review on holidayiq app amp get inr 300 in yourwallet,0,Neutral
928,hey you would be eligible for luxanniversary only if your wedding anniversary falls between 1st to 8th december,-0.14,Negative
929,congratsyouve won yourself a free lux ride on your anniversary please dm your email and phone number luxanniversary,0.27,Positive
930,hey santhosh please share the photo of your printed wedding invite luxanniversary,0.11,Positive
931,congrats manish youve won yourself an olalux ride please dm your full name phone number and email id luxanniversary,0.15,Positive
932,belated wedding anniversary ai and ritesh please dm your phone number amp email luxanniversary,0,Neutral
933,thanks for the shoutout saliya were proud to be your backupplan in such a situation,0.33,Positive
934,welcome to the primelife gautham,0.33,Positive
935,hey priyanka please share a photo of your printed wedding invite luxanniversary,0.11,Positive
936,hey dhaval kindly ask your friend to share a photo of their printed invite with the ht luxanniversary,0.2,Positive
937,thanks santhosh and belated anniversary wishes please dm us your email id and phone number luxanniversary,0.1,Positive
938,hey kenny sorry to hear this not what we want people to remember bangalore by dm us your no and well check what went wrong,-0.083,Negative
939,mumbai a big congrats to kunal jain the lucky winner of the ola to bali contest he wins an all expenses paid trip to bali,0.13,Positive
940,on popular demand luxanniversary contest has been extended till 10th dec is your wedding anniversary coming up in the next 4 days,0.17,Positive
941,hold on we may have something special coming next week too luxanniversary,0.12,Positive
942,please share a photo of their printed wedding invite more details here luxanniversary,0.12,Positive
943,olaoutstation ftw,0.5,Positive
944,"contest ends tomorrow share an offbeat location in india with olaoutstationwithfab amp you could win 

details",0.091,Positive
945,bangalore open the ola app between 12pm amp 4pm today and tap on the sunburn icon to win free passes sunburnwithola,0.15,Positive
946,bangalore limited vip passes toare up for grabs more details coming soon staytuned sunburnwithola,-0.091,Negative
947,bengaluruhave a great time at sunburnarena amp get back home safe withshuttlesunburnwithola,0.3,Positive
948,congratsyouve been selected as the winner of olaoutstationwithfab youve won yourself a 3d2n stay with,0.43,Positive
949,thanks anand welcome to the primelife,0.5,Positive
950,"hey bangalore free passes to theup for grabs 
 to sta the contest sunburnwithola",0,Neutral
951,bangalore tell us what you would trade for a free pass to thehappening today and you may win one sunburnwithola,0.091,Positive
952,you heard that right way faster than 30 want to challenge us to a delivery dare,0.25,Positive
953,challenge accepted well ensure the oneplus 3t reaches in 15mins else they get free oneplus merchandise deal oneplusoladash,0.071,Positive
954,"congratsampyou have won passes to the
sunburnwithola",0,Neutral
955,congratsampsunburnwithola you have won yourself couple passes to,0,Neutral
956,you’re on let the rides begin we’ll even give out some exclusive merchandise for olaselect members oneplusoladash,0,Neutral
957,hey folks ready to celebrate the new years eve in style withwe have something coming up staytuned olaoutstationwithfab,0.23,Positive
958,share an offbeat destination in india amp win a new years eve package fromdetailsolaoutstationwithfab,0.091,Positive
959,contest aleolaoutstationwithfab,0,Neutral
960,bangalore delhi open the ola app amp tap the oneplus icon for a chance to preview the new oneplus 3t at your doorstep oneplusoladash,0.067,Positive
961,bangalore delhi paicipate in the 15 minute challenge to win exclusive oneplus merchandiseoneplusoladash,-0.11,Negative
962,a breather from the bangalore rains booking myself a cab withtoday oneplusoladash,0,Neutral
963,"due to the calamity caused by cyclone vardah we are suspending peak pricing in chennai stay strong chennai
",0,Neutral
964,thanks for letting us know pulkit well ensure that the driver paner is recognized amp rewarded olastar,0.25,Positive
965,thanks for the shout out bharat well ensure that your appreciation reaches mrsunil have a great day ahead,0.36,Positive
966,mumbai hyderabad open the ola app amp tap the oneplus icon for a chance to preview the new oneplus 3t at your doorstep oneplusoladash,0.067,Positive
967,delhi have friends or family that are celebrating their bihdays this month winvouchers details,0.25,Positive
968,keep trying vishal,0,Neutral
969,"exclusive sale on 1516 dec buy your first sharepassatre1
only limited passes up for grabs 
details",-0.3,Negative
970,"share an offbeat destination in india amp you could win staythis new years eve olaoutstationwithfab 
",0.091,Positive
971,happy anniversary you have won a olalux dm us your phone number amp address luxanniversary,0.22,Positive
972,exclusive sale has staed have you got your sharepassatre1,-0.2,Negative
973,"today and tomorrow buy share pass at just re1 share your rides at fixed fares sharepassatre1
more",0,Neutral
974,pune kolkata open the ola app amp tap theicon for a chance to preview the new oneplus 3t at your doorstep oneplusoladash,0.071,Positive
975,it means 70 for twosharepassatre1,-0.5,Negative
976,thanks to the incredible response weve increased the number of share passes grab yours at re1 now limited period offer sharepassatre1,0.071,Positive
977,"pune kolkata paicipate in the 15 minute challenge to win exclusivemerchandise oneplusoladash
more",0,Neutral
978,"last 1000 passes up for grabs today hurry and get yours now 
sharepassatre1",-0.12,Negative
979,and thank you for inspiring us to keep running and living the healthy life,0.57,Positive
980,sharepass sale over for today watch out for the sale to begin at midnight for day 2 sharepassatre1,0,Neutral
981,thank youfor your suppo to the barefoot marathonolaoutstation bengaluru2coorg,0.17,Positive
982,wahthere could be no better welcome to the city than with bhajiya and vada paav sharetales,0.25,Positive
983,"icymi weve panered with apple music for olaplay
",0,Neutral
984,"5 minutes more to go to get your hands on to share pass at re1 hurry limited period offer
sharepassatre1
more",-0.2,Negative
985,what would you do with re1 today,0,Neutral
986,"sharepass at the value of a candy 
sharepassatre1",0,Neutral
987,"sharepass at the value of a sharpener
sharepassatre1",0,Neutral
988,"ola sharepass at the value of a ketchup sachet
sharepassatre1",0,Neutral
989,such a sweet thing when theguy wants a selfie with u feeling honoured day is made conversations highway office lovemywork,0.077,Positive
990,"last 5000 passes up for grabs today hurry and get yours now 
sharepassatre1",-0.12,Negative
991,"celebrating a wedding anniversary between 1631 dec share photo of your wedding invite amp win luxanniversary ride
",0.17,Positive
992,but you could use ola money in fact if its your first recharge you even get a free ride woh rs100,0.27,Positive
993,recharge your account and apply the code cashless on the next ola ride,0,Neutral
994,wy dont you try olaplay cabs,0,Neutral
995,sure more to come olaplay,0.33,Positive
996,congratsyouve been selected as the winner of olaoutstationwithfab youve won yourself stay with,0.43,Positive
997,the exclusive share pass sale has ended keep riding at fixed fares sharepassatre1,-0.2,Negative
998,bangalore relive the magic of home alone in the exclusive ola prime lounge which you can access by flashing your ola prime ride invoice,0.062,Positive
999,"shoot a video review on holidayiq app and get inr 300 in yourwallet
earn amp pay as you travel shoot now",0,Neutral
1000,get cash at your doorstep open your ola app tomorrow between 11am3pm amp click on the yesbank icon olacashondemand,0.077,Positive
1001,get cash at your doorstep open your ola app on 20th dec 11am to 3pm amp click on the yesbank icon olacashondemand,0.083,Positive
1002,bangalore delhi mumbai chennai open the ola app amp click on theicon to withdraw money at your doorstep olacashondemand,0.071,Positive
1003,kolkata hyderabad pune jaipur ahmedabad open your ola app amp tap theicon to withdraw money at your doorstep olacashondemand,0.067,Positive
1004,thanks for the shout out cyril,0.33,Positive
1005,heres saumya from hyderabad who had just withdrawn money at her doorstep with olacashondemand powered by,0.22,Positive
1006,ola is committed to our pmskillindia mission signed an mou in presence of pm today to invest 100 cr,0.11,Positive
1007,here is mr pradeep from sunpada mumbai withdrawing money from olacashondemand powered by,0.14,Positive
1008,mr abhiram from banjara hills hyderabad gives a big thumbs up after withdrawing money from olacashondemand powered by,0.091,Positive
1009,from t nagar chennai mraravind has just withdrawn money from olacashondemand powered by,0.25,Positive
1010,demand is through the roof well see what can be done,0.17,Positive
1011,works for debit cards from most banks,0.25,Positive
1012,we just love to keep our customers super delighted get cash delivered on your doorstep witholacashondemand,0.36,Positive
1013,mr saahak from bangalore is really excited to withdraw money from olacashondemand powered byright outside his office,0.091,Positive
1014,happy customers from pune after withdrawing money from their doorstep olacashondemand powered by,0.25,Positive
1015,welcome back abhinav were glad you like our new features and there are still a lot more coming soon,0.36,Positive
1016,"thanks for the overwhelming response folks olacashondemand has come to a close for today 
a big thanks tofor their suppo",0.25,Positive
1017,"pay for your ola rides using debitcredit cards amp get rs75 cashback on your first card ride 
cashlesschalegaindia",0.15,Positive
1018,our friends athave shuttle services for everyone in pune to reach sunburn10 safely for more info,0.2,Positive
1019,oh you shouldnt have,0,Neutral
1020,bangalore,0,Neutral
1021,"enjoy sunburnwitholaselect membership and get exclusive privileges including passes vip lounges and more
details",0,Neutral
1022,pay hard at sunburn10 amp lettake care of your travel more infoolatakemetosunburn,-0.12,Negative
1023,how small things like a greeting can go such a long way to make ones day pleasant glad to hear this have a great day,0.2,Positive
1024,"hey all you edm fans we have a few sunburn10 passes up for grabs 
want 100 s to get the contest staedolatakemetosunburn",0,Neutral
1025,and did you travel at rs 294 km olaauto,0,Neutral
1026,if youre inconvenienced by a passenger you can just request himher were sure theyd comply respecting mutual space is imp,0.14,Positive
1027,"thanks for all the s guys the contest will sta sholy make some noise and show your love 
olatakemetosunburn",0.18,Positive
1028,"complete the 4 steps for a chance to win free couple passes to sunburn10
olatakemetosunburn
for more details",0.1,Positive
1029,all those who are sharing your dance moves boomerang dont forget to keep your profiles public to help us find you olatakemetosunburn,0,Neutral
1030,eagerly waiting for it olatakemetosunburn,0.33,Positive
1031,"hey peeps dont forget to share your boomerang on instagram to complete step 4 of olatakemetosunburn 
details",-0.091,Negative
1032,bangalore,0,Neutral
1033,nice to hear but more keen to hear about your select experience over dm perhaps,0.43,Positive
1034,hey kanish dont forget to share this on instagram with olatakemetosunburn and tag us,-0.12,Negative
1035,hey pankti hope youve also shared this on instagram with olatakemetosunburn and dont forget to tag us too,0,Neutral
1036,awesome olatakemetosunburn,0.5,Positive
1037,good luckolatakemetosunburn,0.5,Positive
1038,dont forget to complete all 4 steps 2016 may be your lucky yearolatakemetosunburn,0,Neutral
1039,hey mohit dont forget to share this on instagram with olatakemetosunburn and tag us,-0.12,Negative
1040,nice moves dont forget to share this on instagram with the ht olatakemetosunburn and keep the post public,0,Neutral
1041,hit the category panel to get out the screen let us know if it workscheers,0,Neutral
1042,"pay with olamoney onamp get 25 cashback upto rs100 
offer valid only till 25th december
details",0.091,Positive
1043,giving out spoilers notcool,0,Neutral
1044,"here’s wishing you a merry christmas and a happy 2017 from all of us at ola
merrychristmas",0.33,Positive
1045,"merrychristmas delhi
open the ola app amp tap on the christmas icon from 12pm4pm to receive a cake at your doorstep",0.077,Positive
1046,my dream is to drive over the rainbow so highhhhhhhhhhh,0,Neutral
1047,it’s my lifeeee it’s now or ever i ain’t gonna drive forever,0,Neutral
1048,broaaja meri gaadi mein baet ja and then lets go to the gym,0,Neutral
1049,heyyour cute,0.5,Positive
1050,you’re,0,Neutral
1051,xcuse the typos,0,Neutral
1052,is very hillary,0,Neutral
1053,hilarious,1,Positive
1054,heylets put one for the road,0,Neutral
1055,relax this is an internal issue lol,0,Neutral
1056,purushottam ji f you’re out drinking tonight give me a shout lol,0,Neutral
1057,naam toh ek dum pirated hai,0,Neutral
1058,that feeling when you tag the wrong handle and waiting for reply facepalm,-0.14,Negative
1059,we wish you a merry christmas,0.33,Positive
1060,you mean in madira pradesh,-0.33,Negative
1061,woskdow skash dhsahd sjakkha sahhjlsaash asjkakhas,0,Neutral
1062,"so high so gihg
",0,Neutral
1063,"i follow you 
",0,Neutral
1064,arre kahan aisa kuch kiya yaar,0,Neutral
1065,i am totally in controlllllllllllllllllll feelinggood,0,Neutral
1066,about those last tweets drunk tweeting is dangerous imagine what drunk driving can dopeekematchala,-0.2,Negative
1067,"drink don’t drive
drive don’t drink
pick a side
let aib and ola tell you how peekematchala",0,Neutral
1068,"
drink don’t drive 
drive don’t drink 
pick a side 
let aib and ola tell you how peekematchala",0,Neutral
1069,"
drink don’t drive 
drive don’t drink 
pick a side 
let aib and ola tell you how peekematchala",0,Neutral
1070,"
drink don’t drive 
drive don’t drink 
pick a side 
let aib and ola tell you how peekematchala",0,Neutral
1071,"
drunk tweeting is dangerous imagine what drunk driving can dopeekematchala",-0.25,Negative
1072,hey guys olatakemetosunburn contest is closed winners to be announced sholy,0.12,Positive
1073,firgun that feeling of immense pleasure knowing a customer has had a good successfullifo share ride,0.3,Positive
1074,this was a pa of the campaign to create awareness against drinking and driving peekematchala,0,Neutral
1075,"congrats you all have won couple passes to sunburn
first list of the winnersamp 
olatakemetosunburn",0,Neutral
1076,"congrats guys second list of winners
olatakemetosunburn",0.17,Positive
1077,"congrats all final set of winnersamp
dm us your registered phone number and email id olatakemetosunburn",0,Neutral
1078,"pay with olamoney atampto get 20 cashback offer valid till 1st jan 2017
",0.11,Positive
1079,"the cabbie who returned fogotten phones woh rs65000
last night my brother and i were out doing the whole",0.11,Positive
1080,happy 3rd bihdayso what are you guys doing on turning 3 grofersturns3,0.2,Positive
1081,nice that sounds pretty fun we’ll be therecontest grofersturns3,0.57,Positive
1082,okay people of all the things youve done under the influence whats been the most embarrassingpeekenahichalaya,0,Neutral
1083,minions have to reach for the bihday pay of banana they have very less cash whichservice will they use amp why grofersturns3,0.17,Positive
1084,as long as youre safe peekematchala,0,Neutral
1085,this is very pretty good vicky peekenahichalaya,0.5,Positive
1086,ouch hope you got him new sheetspeekenahichalaya,0.2,Positive
1087,we are proud of you peekenahichalaya,0.5,Positive
1088,drunkdunked ever peekenahichalaya,0,Neutral
1089,how was your olaplay ride,0,Neutral
1090,lovely cabtured,0.5,Positive
1091,hi this was pa of our campaign to create awareness against drunk drivingpeekematchala,-0.2,Negative
1092,"heressharing his most embarrassing drunk story

whats yourspeekenahichalaya",-0.33,Negative
1093,delhi gurgaon we have got some fabulous offers lined up for the new years eve withdetails,0.1,Positive
1094,that is indeed a moral conundrum,0.33,Positive
1095,on a serious note its better you leave it with the driver someone might be looking for it,0,Neutral
1096,thanks for the shout out atul,0.33,Positive
1097,looks like you are enjoying your olaselect privileges welcome to the club,0.57,Positive
1098,hello have you tried ola money,0,Neutral
1099,peekenahichalaya,0,Neutral
1100,delighted to hear this would love to know how he made you feel this way curious,0.25,Positive
1101,heres a list of long weekends fromto get you staed on planning your holidays in 2017 olaoutstation,-0.1,Negative
1102,"now pay with olamoney onamp get 20 cashback up to rs75 
valid till 1st jan only newyeardeals",0.1,Positive
1103,changing the on road commute for passengers olaplay bythis was a pleasant surprise on delhi roads and a much needed delight,0.15,Positive
1104,"if you have no plans tonight
for everyone else see you in an ola peekematchala 
happy 2017 people",0.11,Positive
1105,wish you a fabulous 2017 nikhil,0.33,Positive
1106,no promo code required for this asheesh happy new year,0.14,Positive
1107,welcome to the olaplay experience wish you a very happy new year,0.29,Positive
1108,we are delighted to hear this amit and wish you a fabulous new year,0.29,Positive
1109,playing hits of 2016 onin,0.33,Positive
1110,olaplay is such a delight immense possibilities,0.5,Positive
1111,thanks for the shoutout riteshwere delighted to hear that you enjoyed the experience olaplay,0.38,Positive
1112,glad to hear rakesh wish you an awesome week ahead,0.29,Positive
1113,olaplay,0,Neutral
1114,welcome to the olaplay experience debashis,0.25,Positive
1115,,,
1116,my journey got better with tinkledriver offers me to read very thoughtfulnewyearneweverything,0.14,Positive
1117,riding inprime play sedan enjoying the awesome apple music collection,0.33,Positive
1118,glad to hear this you must check out our roadtrip playlist we think youll enjoy that olaplay,0.2,Positive
1119,"now rides would be even more exciting 
good move ola 
olacabs primerides",0.33,Positive
1120,thanks for the shoutout siddhaholaplay,0.33,Positive
1121,introducing the all new ola share express now walk a little and save a lot details,0.091,Positive
1122,listening to my favorite song throughinolaplay is kickass,0.2,Positive
1123,fantastic sta to the week we think olaplay mondaymotivation,0.17,Positive
1124,sta your week on a good note treat yourself to an olaplay cab ride mondaymotivation,0.11,Positive
1125,no well check with apple music and fix that,0.2,Positive
1126,with the highest average speed of commute hyderabad is the city with the smoothest traffic in india check out where your city stands,0.083,Positive
1127,bangalores silk board junction is the most notorious traffic bottleneck in the city find out whats the biggest bottleneck in your city,-0.077,Negative
1128,hey indever somethings coming your way sholy staytuned sunburnwithola,0.12,Positive
1129,like staing late for work hyderabad is the city you have to be in check out where your city stands in the office standard time,0.25,Positive
1130,airpos remain as the location with the highest number of pickups and drops check out the other popular ride destinations in your city,0.083,Positive
1131,if you had taken a share ride last year this is the time to give yourself a pat on the back for your contribution to the environment,0.18,Positive
1132,ab bas karo rulaoge kya,0,Neutral
1133,i have only taken share rides amp now on share pass since launched one of the cheapest amp easiest way of travel,0.067,Positive
1134,and share was the only thing that kept me moving during the demonitisation thanks a lot,0.14,Positive
1135,you know what lets get you a trial of olaselect no peak pricing can you dm us your email id,0,Neutral
1136,thanks for the upgrade ola play is amazing especially when its a long ride,0.38,Positive
1137,isnt it did you try out our specially curated playlist on apple music for long rides olaplay,-0.1,Negative
1138,yes thats coming soon glad to hear you liked it olaplay,0.38,Positive
1139,live to tell the tale onehelluvaride,0.25,Positive
1140,looking for couple passes tohead over to facebook and paicipatesunburnwithola,-0.17,Negative
1141,"its unexpectedly awesome to have control of music in cabolaplay olaselect 
sometimes staups spoil u happy gm",0,Neutral
1142,we are hiring product designers at,0.33,Positive
1143,get ready for some incab adveisingwe know what you are going to do this summer,0.17,Positive
1144,we request you to check your olamoney account balance for the credit,0.17,Positive
1145,apologies for the inconvenience we have repoed the driver for corrective action and look forward towards being cont1,0,Neutral
1146,cont1 there promptly at the time of need by working towards nullifying such instances there were no charges cont2,0.3,Positive
1147,cont2 debited,0,Neutral
1148,great to hear nemish wish you an awesome week ahead,0.29,Positive
1149,get moving on your fitnessgoals of 2017 with olaselect sign up amp get exclusive benefits from,0,Neutral
1150,we kindly request you to provide the email id or phone number registered with us,0.29,Positive
1151,at times we give out free upgrades we request you to share the offer code,0.38,Positive
1152,cont1 request you to leave us a ping on completing the ride for us to look into the invoice,0,Neutral
1153,our paners are trainedinstructed to use the device for directions and be cautious while on the wheel we cont1,0.12,Positive
1154,we kindly request you to share the booking reference id for us to be able to take necessary action,0.11,Positive
